标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
北京1日游,https://travel.qunar.com/youji/7586393,scjm0556,2019-11-22 出发,共2天,1张照片,闺蜜,,人均500元,860,2,0
#春之女神#当我在这新、红、资,https://travel.qunar.com/youji/6341203,充满斗志的小...,2015-05-30 出发,共2天,59张照片,,,,1371,0,0
周末玩点不一样的！探秘北京8大“废墟”，看一眼人类消失后的世界~,https://travel.qunar.com/youji/7401774,麦麦一盏,2018-09-27 出发,共1天,34张照片,三五好友,寒假 自驾 骑行 短途周末 暑假 摄影 徒步 探险 人文 深度游 夏季 踏春 冬季 国庆,人均100元,8877,34,1
单车游北京 | 周末骑上一辆脚踏车，把京城的美景美食全都收入囊中！,https://travel.qunar.com/youji/7397328,麦麦一盏,2018-09-19 出发,共1天,42张照片,三五好友,购物 穷游 美食 漫游 中秋节 骑行 短途周末 摄影 赏秋 人文 国庆,人均100元,8746,30,0
五一闺蜜帝都双人行(˶‾᷄⁻̫‾᷅˵),https://travel.qunar.com/youji/6545659,一串小丸子,2016-04-29 出发,共4天,71张照片,闺蜜,美食 五一,人均1500元,4121,8,1
那次风雨兼程的旅行——云蒙山！【自如搭】,https://travel.qunar.com/youji/5489214,xiao__6,2015-04-11 出发,共1天,45张照片,三五好友,短途周末,人均60元,2318,4,0
本年度首发三险三尖,https://travel.qunar.com/youji/6806926,lauyuu,2015-10-31 出发,共1天,98张照片,独自一人,,,2500,0,0
北京五年重逢之旅,https://travel.qunar.com/youji/6445460,亲爱的未央,2013-08-31 出发,共3天,98张照片,三五好友,,,2900,3,0
游北京的大小孩,https://travel.qunar.com/youji/5933073,庄小贪,2015-03-14 出发,共4天,116张照片,情侣,短途周末,,3607,1,0
留恋香山的美景--北京1日游,https://travel.qunar.com/youji/5911114,zhaoyuzhen12...,2015-06-30 出发,共1天,92张照片,独自一人,短途周末,人均50元,2841,2,0
北京四日游记,https://travel.qunar.com/youji/5499025,yanq9675,2015-02-19 出发,共4天,53张照片,家庭,美食,人均2000元,3585,13,0
去中山公园和郁金香来次美丽邂逅,https://travel.qunar.com/youji/5929769,梁lsh,2014-04-20 出发,共1天,62张照片,独自一人,短途周末,人均10元,2339,1,0
北京5日游,https://travel.qunar.com/youji/6856005,带儿子旅行,2017-06-25 出发,共5天,50张照片,亲子,毕业游,人均1000元,4513,19,0
北京亲子游回顾，儿子说是5岁以来最难忘的,https://travel.qunar.com/youji/6465687,moneyyyi,2015-07-31 出发,共6天,54张照片,亲子,,人均4000元,4.5万,244,17
花样爹妈团——北京7天6夜自由行,https://travel.qunar.com/youji/5575566,missshushu,2015-05-17 出发,共7天,75张照片,家庭,美食,人均3500元,4940,1,2
2014秋的印记之陶然亭,https://travel.qunar.com/youji/6746981,梁lsh,2014-11-01 出发,共1天,92张照片,独自一人,,,1780,0,0
背着行囊看北京一千年沧桑,https://travel.qunar.com/youji/5302116,小瓶子的美好...,2014-12-20 出发,共6天,80张照片,独自一人,,人均2000元,8242,27,5
向“天坛”再要五百年~~,https://travel.qunar.com/youji/6972979,茉莉,2018-01-07 出发,共1天,60张照片,,,,4577,9,0
#北京周边四大徒步路线#找个周末带着家人邀上朋友出发去徒步爬山吧！,https://travel.qunar.com/youji/7012827,夏嘻嘻,2018-03-26 出发,共2天,36张照片,三五好友,清明 短途周末 登山 踏春 摄影 徒步 探险,人均200元,6170,8,1
红杏枝头春意闹，凤凰岭上风光好,https://travel.qunar.com/youji/5271430,yangpei929,2013-04-13 出发,共1天,32张照片,,,,3647,4,0
2016.10，在那葵花盛开的地方,https://travel.qunar.com/youji/6740417,梁lsh,2016-10-05 出发,共1天,73张照片,家庭,,人均30元,1967,0,1
北方的北，京城的京,https://travel.qunar.com/youji/6495529,陳小瞳,2016-07-13 出发,共4天,64张照片,家庭,购物 短途周末,人均3000元,1552,1,0
《走遍京郊》延庆【孤独的九眼楼】随风随性,https://travel.qunar.com/youji/6729117,独自随风,2016-12-11 出发,共1天,86张照片,,,,3113,0,0
2019北京过大年,https://travel.qunar.com/youji/7454837,灵清风,2019-02-27 出发,共3天,86张照片,独自一人,春节 第一次,,2171,4,0
清风有信，秋美无边｜古北水镇绽放一场绚丽的“花火”,https://travel.qunar.com/youji/7535455,背包客的笔记,2019-09-28 出发,共2天,73张照片,三五好友,美食 赏枫 短途周末 摄影 赏秋,人均1000元,6.7万,14,2
说好的大雨没有来，还好慵懒的周末如约而至,https://travel.qunar.com/youji/6505544,周游BH1KAY,2016-07-23 出发,共2天,37张照片,情侣,短途周末,人均1000元,5614,1,2
5天4晩北京游,https://travel.qunar.com/youji/6969172,L爱游,2017-12-26 出发,共5天,60张照片,,,人均3000元,5737,48,1
2017春节巽寮湾慢游记,https://travel.qunar.com/youji/6722562,猴吃虎,2017-01-27 出发,共7天,22张照片,亲子,,人均3000元,4513,2,0
发现喧闹城市中的那片平静--陶然亭游记,https://travel.qunar.com/youji/5917792,梁lsh,2015-05-03 出发,共1天,98张照片,独自一人,短途周末,人均10元,2178,0,0
跟着男友吃遍北京城——北京,https://travel.qunar.com/youji/6447521,morn9081,2016-06-16 出发,共8天,74张照片,情侣,美食,,9785,43,0
#我的2018#北京玩两天，吃喝玩乐住一条龙，听我告诉你怎么玩！,https://travel.qunar.com/youji/7655770,PIXONE,2018-12-01 出发,共2天,136张照片,三五好友,美食,,275,18,3
北京野生动物园1日游,https://travel.qunar.com/youji/6805597,ysmp0897,2017-05-03 出发,共1天,159张照片,三五好友,短途周末 摄影,人均200元,4564,10,0
浙江临海江南长城,https://travel.qunar.com/youji/7424459,地中海25,2018-11-22 出发,共1天,49张照片,,,人均300元,4481,1,0
【喵喵爱旅行5】北京酣畅3日游,https://travel.qunar.com/youji/5773349,CPHJ,2015-07-31 出发,共3天,568张照片,三五好友,美食,人均2000元,4.3万,229,14
GO！北京的幸福小镇,https://travel.qunar.com/youji/5991914,冬尽了,2015-10-04 出发,共2天,84张照片,家庭,美食 温泉 短途周末,,3289,2,0
说走就走系列之首都博物馆半日游,https://travel.qunar.com/youji/6806784,DiDaDi胭脂猫,2017-03-19 出发,共1天,50张照片,三五好友,,,4976,0,0
古北水镇温泉乡 泡上最怡人的汤,https://travel.qunar.com/youji/6640077,阿滋楠,2016-10-11 出发,共1天,52张照片,三五好友,美食 温泉 古镇 摄影 徒步,,4151,3,1
我眼中不一样的北京城,https://travel.qunar.com/youji/6540772,杨喧,2015-10-01 出发,共7天,122张照片,,购物 美食 短途周末,,4515,5,1
北京商务差旅：趁玩心未泯，边作边玩！,https://travel.qunar.com/youji/5761117,fin细妙,2015-07-24 出发,共2天,58张照片,三五好友,,人均1800元,1.2万,0,1
房山两日，访古溯源，陪你把风景都看透,https://travel.qunar.com/youji/7496682,如画心语,2019-06-29 出发,共2天,57张照片,,,,3.3万,2,0
密云最美野长城，密云五座楼风景区,https://travel.qunar.com/youji/6662084,大明锦衣卫,2016-10-29 出发,共1天,72张照片,三五好友,,人均30元,5766,2,0
一个人的北京之旅,https://travel.qunar.com/youji/5526984,李芷若若若,2015-05-22 出发,共4天,43张照片,独自一人,,人均2600元,3220,6,5
北京地铁二号线带你吃遍北京城美食胡同里的小吃。,https://travel.qunar.com/youji/7016492,夏嘻嘻,2018-04-02 出发,共1天,51张照片,,美食 漫游,,8112,25,4
北京比较值得去的一些地方，良心推荐,https://travel.qunar.com/youji/6542708,赛赛赛赛马,2016-08-08 出发,共3天,21张照片,闺蜜,徒步,人均800元,40万,1446,62
半边天组合游北京,https://travel.qunar.com/youji/6403224,阿芒313,2016-05-16 出发,共5天,77张照片,家庭,,人均2000元,1290,0,0
古北水镇2日游,https://travel.qunar.com/youji/7660987,pgws1207,2021-03-12 出发,共2天,47张照片,家庭,美食 温泉 踏春 第一次,人均1000元,900,33,2
北京三天两晚游,https://travel.qunar.com/youji/7467193,娜娜的旅行出...,2019-04-05 出发,共3天,23张照片,家庭,清明 美食 第一次,人均1500元,1269,6,2
北京，一座“不好玩”的城市,https://travel.qunar.com/youji/6947891,小表锅,2017-05-08 出发,共6天,84张照片,独自一人,美食,人均3000元,3295,2,0
《走遍京郊》房山【游客寥寥，一头雾水的金祖山】随风随性,https://travel.qunar.com/youji/6817158,独自随风,2017-03-25 出发,共1天,64张照片,独自一人,,,3958,3,0
北京2日游,https://travel.qunar.com/youji/6783280,vtgz5714,2017-04-01 出发,共2天,90张照片,情侣,美食 徒步,人均1000元,3698,3,0
2019国庆跟着东宫去坝上,https://travel.qunar.com/youji/7534193,dyyoe,2019-09-29 出发,共8天,37张照片,独自一人,国庆,人均6000元,1357,5,4
鲜花盛开的地方——顺义鲜花港,https://travel.qunar.com/youji/6699085,水天一色lyj,2014-05-23 出发,共1天,60张照片,家庭,短途周末 摄影,,5325,5,0
跟团游OUT，自由行才是王道！帝都（故宫、南锣鼓巷、什刹海）一日游攻略,https://travel.qunar.com/youji/7425694,火火火龙果,2018-11-24 出发,共1天,29张照片,,,人均100元,4590,5,0
吃火锅——是对冬天最起码的尊重！北京巴适得板的6家地道川渝火锅！人均150,https://travel.qunar.com/youji/7423856,火火火龙果,2018-11-20 出发,共1天,25张照片,三五好友,跨年 圣诞 美食 寒假 冬季 春节,人均150元,7821,7,1
北京自由行,https://travel.qunar.com/youji/4032039,星落落,2014-07-09 出发,共5天,11张照片,,,,7964,30,2
国庆北京夜摄游,https://travel.qunar.com/youji/6053368,梁lsh,2015-11-23 出发,共1天,80张照片,,,,3376,1,0
《走遍京郊》怀柔【箭扣长城几次露营经历】,https://travel.qunar.com/youji/6359608,独自随风,2015-09-25 出发,共2天,63张照片,,,,3535,3,0
北京| 我和我的祖国，祝您生日快乐,https://travel.qunar.com/youji/7621261,JiaWeii丶,2020-09-14 出发,共5天,74张照片,家庭,美食 中秋节 赏秋 第一次,人均2500元,1034,7,0
2015年7月北京5天4晚亲子休闲自由行,https://travel.qunar.com/youji/5700775,厦门悠然,2015-07-08 出发,共5天,121张照片,亲子,美食 夏季,人均3500元,7127,7,2
我的北京旅行攻略,https://travel.qunar.com/youji/5206785,louis34,2015-02-21 出发,共7天,71张照片,,购物 美食,,7481,8,2
远行客的游京记,https://travel.qunar.com/youji/7542858,暮書子Musuki,2018-04-26 出发,共3天,38张照片,三五好友,第一次,,1588,6,4
毕业旅行，圆我国都梦,https://travel.qunar.com/youji/6864334,爬山虎的鞋垫,2017-06-22 出发,共5天,64张照片,三五好友,购物 毕业游,,2123,0,0
张裕爱斐堡国际酒庄之旅,https://travel.qunar.com/youji/5950708,凤麒儿,2015-09-06 出发,共1天,42张照片,,,,3260,2,0
我们去最浪漫的地方！盘点中国十大最美校园。,https://travel.qunar.com/youji/7000069,Adin郭法丁,2018-03-01 出发,共2天,46张照片,情侣,清明 海滨海岛 端午 骑行 五一 毕业游 暑假 短途周末 摄影 人文 穷游 赏樱 夏季 踏春,人均200元,4024,5,0
some night in 北京,https://travel.qunar.com/youji/3871429,ypgc4217,2014-06-24 出发,共6天,43张照片,,,,3157,12,0
软磨硬泡才成行的京城4日游,https://travel.qunar.com/youji/5125926,vkrb3126,2015-01-31 出发,共4天,16张照片,情侣,,,1596,4,0
2日游,https://travel.qunar.com/youji/6842165,wtou9605,2017-06-17 出发,共2天,89张照片,闺蜜,短途周末,人均1500元,1249,2,0
#赞~！故宫站岗的兵哥哥讲流利的英语#和我一起探寻北京故宫的奥秘！,https://travel.qunar.com/youji/6980673,魑魅魍魉Q,2018-01-19 出发,共1天,7张照片,,短途周末 探险 人文,,1954,3,0
有关京西公路的一些只言片语,https://travel.qunar.com/youji/7639701,末梢和神经,2019-12-01 出发,共2天,111张照片,三五好友,,,38,15,2
浪到皇城根儿,https://travel.qunar.com/youji/6902708,Sunny坤坤,2017-08-11 出发,共4天,64张照片,三五好友,美食 骑行,人均1000元,2423,2,0
【登山系列】征服北京第一峰——灵山登顶,https://travel.qunar.com/youji/5896065,ttsu2548,2015-06-06 出发,共1天,41张照片,,短途周末 登山,,3171,0,2
新年登箭扣——北京怀柔,https://travel.qunar.com/youji/5543263,薇那verna,2015-01-01 出发,共1天,42张照片,三五好友,跨年,人均60元,3215,3,1
再游园博园--周末自由行,https://travel.qunar.com/youji/5934319,梁lsh,2013-05-12 出发,共1天,60张照片,家庭,短途周末,人均8元,1448,2,0
【京郊2日游】古色古香的温泉赏雪,https://travel.qunar.com/youji/6657310,雪慕琅嬛,2016-12-04 出发,共2天,61张照片,三五好友,美食 温泉 古镇 自驾 摄影,人均800元,2891,2,0
深秋游北京,https://travel.qunar.com/youji/6061819,子歆,2015-10-30 出发,共3天,45张照片,闺蜜,美食 赏秋,人均3600元,5081,4,0
小脚丫走天下 之 古北水镇,https://travel.qunar.com/youji/6529917,透明的方糖,2016-07-26 出发,共3天,43张照片,亲子,自驾 短途周末 人文,人均1000元,1.2万,65,2
北京5日游,https://travel.qunar.com/youji/6572843,aidh7766,2016-09-16 出发,共5天,54张照片,闺蜜,自驾,人均2元,4161,3,0
北京 看展2日游,https://travel.qunar.com/youji/7499672,小建0322,2019-06-24 出发,共2天,82张照片,,,人均500元,1054,1,0
出淤泥而不染，濯清涟而不妖--莲石湖游记,https://travel.qunar.com/youji/5917348,梁lsh,2015-06-28 出发,共1天,74张照片,独自一人,短途周末,人均10元,1954,0,0
从北京到北平。。。穿越时空之旅,https://travel.qunar.com/youji/5593447,qunar用户,2015-01-30 出发,共7天,139张照片,亲子,美食,人均3000元,3645,8,1
畅游葵花海——北京房山长沟游记,https://travel.qunar.com/youji/5304954,孤鹰YX,2012-09-19 出发,共1天,84张照片,,漫游,,4224,9,3
这样有腔调的民宿向你发出邀请函，有酒有故事，你还不来吗？,https://travel.qunar.com/youji/7081970,Qunar攻略小...,2018-08-10 出发,共3天,62张照片,,,,1.1万,24,0
首都的历史传承与文化,https://travel.qunar.com/youji/5832028,xmzz0351,2015-07-09 出发,共5天,46张照片,家庭,,人均2000元,4193,8,0
北京7日游，各种🚶,https://travel.qunar.com/youji/7429968,另一个岛,2018-12-01 出发,共7天,134张照片,独自一人,深度游 冬季 第一次,人均3000元,2669,4,0
【100哆啦A梦道具展】北京朝阳大悦城,https://travel.qunar.com/youji/3793363,毛茸茸软绵绵,2014-06-20 出发,共2天,164张照片,,,,3422,18,0
在冬雪中与你相遇-龙泉峪长城,https://travel.qunar.com/youji/6542395,chronosddm,2016-02-29 出发,共1天,171张照片,,,,1738,0,0
北京1日游,https://travel.qunar.com/youji/6824152,夏暖央,2017-05-25 出发,共1天,66张照片,独自一人,美食 毕业游 徒步 人文,人均200元,3765,20,1
帝都，孩子心中的圣地,https://travel.qunar.com/youji/7077924,rdyl2648,2018-08-03 出发,共5天,53张照片,家庭,暑假 第一次,,4049,19,5
记和小伙伴帝都北京五天之行,https://travel.qunar.com/youji/5801962,yvrw4540,2014-09-03 出发,共5天,27张照片,闺蜜,,人均1500元,9258,2,1
故地重游，暴走北京,https://travel.qunar.com/youji/5539400,我是面面weya,2013-06-09 出发,共3天,99张照片,情侣,美食,人均5000元,3602,6,1
北京十渡栈道+竹筏一日游,https://travel.qunar.com/youji/6327959,mknq3098,2016-04-04 出发,共1天,29张照片,情侣,美食 短途周末,人均100元,8804,8,3
2015，远眺紫禁城，唯有万春亭,https://travel.qunar.com/youji/6746051,梁lsh,2015-12-10 出发,共1天,49张照片,,,,2545,0,0
梦入皇家之园——圆明园,https://travel.qunar.com/youji/5569257,冰若冥,2015-05-31 出发,共1天,11张照片,独自一人,短途周末,人均50元,3963,1,0
北京经典五天五夜自助游🇨🇳,https://travel.qunar.com/youji/4600926,qzuser,2014-10-11 出发,共6天,66张照片,,美食,,4122,11,0
文青儿之端午古北水镇游,https://travel.qunar.com/youji/6672263,双色启轩,2016-06-09 出发,共2天,60张照片,三五好友,古镇,人均663元,4895,18,0
长城之险峻  非八达岭可见  赏箭扣风采,https://travel.qunar.com/youji/5825853,大黑熊_NO1,2015-07-01 出发,共2天,39张照片,三五好友,短途周末,人均100元,2805,9,0
周末没地去？来帝都排名TOP10的书店逛一逛吧,https://travel.qunar.com/youji/7034074,pinkshampoo,2018-05-08 出发,共1天,40张照片,闺蜜,购物 美食 端午 暑假 夏季 短途周末 人文,人均50元,2717,3,0
北京6日之旅。穷游必看。家庭旅游,https://travel.qunar.com/youji/6914840,ffyq4513,2017-08-14 出发,共6天,39张照片,家庭,穷游 美食 骑行 人文,人均2000元,5.1万,333,9
我与节假日逆向而行 to beijing,https://travel.qunar.com/youji/6323723,游客,2016-03-31 出发,共4天,19张照片,情侣,购物 美食 毕业游,人均500元,2031,0,0
北京五日游,https://travel.qunar.com/youji/5625428,bfmz4384,2015-06-12 出发,共5天,19张照片,情侣,蜜月,人均2000元,6121,9,0
小鬼当家—孩子带妈妈玩5000元畅游北京,https://travel.qunar.com/youji/4093602,撬地球的三土...,2014-07-27 出发,共7天,39张照片,亲子,美食 漫游,人均2500元,1.3万,40,12
金秋九月游帝都,https://travel.qunar.com/youji/6943089,天大地大任逍...,2017-09-20 出发,共5天,55张照片,家庭,赏秋,人均4000元,1278,3,0
年底了！盘点北京十大人气苍蝇馆子，简直馋得流口水,https://travel.qunar.com/youji/6968367,羊驼驼哇,2017-12-29 出发,共1天,31张照片,三五好友,美食,,1.1万,12,0
妹子闯帝都,https://travel.qunar.com/youji/5434536,cgpk5163,2015-02-28 出发,共7天,40张照片,闺蜜,美食,,2229,5,1
摇橹长城下，信步山水间,https://travel.qunar.com/youji/6800045,hexr2502,2017-04-25 出发,共1天,41张照片,情侣,美食 古镇 短途周末 摄影 徒步 人文,,1653,0,0
重阳登高见真龙、大榛峪口（驴鞍岭口）,https://travel.qunar.com/youji/6662224,大明锦衣卫,2016-10-09 出发,共1天,119张照片,三五好友,,人均40元,3254,0,0
北京自由行7天较豪华舒服的玩,https://travel.qunar.com/youji/5794285,rkzl5297,2015-07-15 出发,共7天,40张照片,闺蜜,美食,人均6000元,11.2万,204,10
在帝都享受一个人的好时光,https://travel.qunar.com/youji/6623022,maggie琼叨叨,2016-11-08 出发,共1天,60张照片,独自一人,美食 摄影,人均500元,5899,36,5
一次任性的旅行—西班牙自驾之旅,https://travel.qunar.com/youji/5242877,lilianle1,2014-11-05 出发,共3天,17张照片,情侣,自驾,人均30000元,1732,4,0
京城两日游，定格帝都记忆-故宫、南锣鼓巷、天坛、鲁迅博物馆、圆明园,https://travel.qunar.com/youji/7045764,孟孟Meho,2018-05-30 出发,共2天,67张照片,三五好友,五一 夏季 短途周末 人文,人均500元,4208,3,0
北京！北京！,https://travel.qunar.com/youji/7575606,可安coan,2019-01-20 出发,共3天,44张照片,独自一人,春节,人均1500元,814,6,0
2016，人间醉美四月花之国色天香（美图88张无PS）,https://travel.qunar.com/youji/6743879,梁lsh,2016-04-19 出发,共1天,86张照片,,,,2058,1,0
趁秋色斑斓，探银山塔林。,https://travel.qunar.com/youji/7627826,我中山狼,2020-10-21 出发,共1天,117张照片,三五好友,自驾 赏秋,,2793,28,5
北京6日游,https://travel.qunar.com/youji/6998501,xowi6466,2018-02-17 出发,共4天,590张照片,三五好友,人文 春节,人均3000元,1466,2,0
八天七晚，跟着小学课本游遍大北京,https://travel.qunar.com/youji/6568366,狗年月,2016-08-24 出发,共8天,没有照片,亲子,人文,人均4000元,6908,13,2
不见黄花的黄花城水长城,https://travel.qunar.com/youji/6778311,解明浩,2017-03-26 出发,共1天,74张照片,三五好友,自驾 短途周末 摄影 徒步 人文,人均250元,3885,8,1
798的艺术不是每个人都懂。,https://travel.qunar.com/youji/6664773,我的花儿我来...,2016-12-10 出发,共2天,78张照片,情侣,美食 自驾 短途周末 摄影 徒步,,3011,4,0
【北京】春夏小旅行（方家胡同46号院、地坛公园）,https://travel.qunar.com/youji/6815974,绿日光,2017-04-27 出发,共1天,61张照片,,美食,,2651,2,0
在北京延庆ClubMed Joyview享受完美假期,https://travel.qunar.com/youji/7646122,叫我_阿牛哥,2021-01-24 出发,共3天,142张照片,亲子,深度游 美食 滑雪 温泉 自驾 寒假 短途周末 春节,人均2000元,1665,24,2
北京，我们来了！,https://travel.qunar.com/youji/7475642,wrpg6604,2019-04-20 出发,共6天,46张照片,家庭,漫游 五一,人均2800元,1280,8,0
蓝天白云，西提风光,https://travel.qunar.com/youji/6036320,申申1,2014-11-02 出发,共1天,58张照片,,短途周末,,1369,0,0
【北京】周末去哪儿——中国紫檀博物馆,https://travel.qunar.com/youji/6748658,泡泡_798,2017-02-18 出发,共1天,61张照片,情侣,短途周末,人均20元,4569,3,0
北京遛娃攻略！烈日严寒、沙尘暴都不怕，宝燕乐园四季恒温玩水暖～,https://travel.qunar.com/youji/7676487,M_梦初,2021-05-08 出发,共1天,66张照片,亲子,清明 五一 短途周末,人均500元,3.4万,113,2
北京三日两晚游,https://travel.qunar.com/youji/4150600,大王小来,2014-08-08 出发,共3天,68张照片,,,,7565,16,1
北京攻略24h·故宫丨初秋追剧打卡 和闺蜜来一场紫禁城“宫”略,https://travel.qunar.com/youji/7387923,HiHolidays,2018-08-25 出发,共1天,39张照片,闺蜜,美食 短途周末 赏秋 人文,人均60元,2095,3,2
夜游北京,https://travel.qunar.com/youji/6128974,qunar用户,2015-12-13 出发,共7天,165张照片,独自一人,美食 古镇,人均3000元,4642,1,0
将十七孔桥的美景收进眼底,https://travel.qunar.com/youji/5925779,梁lsh,2014-12-20 出发,共1天,56张照片,情侣,短途周末,人均10元,1447,1,0
我与海坨山有个约会,https://travel.qunar.com/youji/6491940,qunar用户,2016-06-25 出发,共2天,72张照片,三五好友,,,2973,1,0
泗马沟-葫芦棚-西峰-东峰-十字寺的一日穿越猫耳山,https://travel.qunar.com/youji/6808610,lauyuu,2014-04-19 出发,共1天,92张照片,三五好友,,人均4元,4165,0,0
深山藏古刹——潭柘寺,https://travel.qunar.com/youji/4687449,吃饱饱de鱼,2012-02-06 出发,共1天,63张照片,家庭,自驾,,4928,7,1
法学生的北京行,https://travel.qunar.com/youji/6438550,Ivyhaha,2016-06-06 出发,共5天,54张照片,学生,,,2403,5,0
感謝遇見你、在那時光里—Peking,https://travel.qunar.com/youji/6812794,荷西先生__,2017-05-04 出发,共3天,66张照片,三五好友,自驾 摄影,人均1000元,3085,6,0
北京7个最壮观的冬泳胜地，今年冬天要风度不要温度！（去看看他们是怎么冻哭的）,https://travel.qunar.com/youji/7419208,小西贝a,2018-11-07 出发,共1天,18张照片,,圣诞 寒假 自驾 潜水 骑行 短途周末 摄影 冬季 徒步 探险 人文 第一次,,8641,11,4
北京糖葫芦大盘点，倍甜倍大倍实惠，来一串儿甜蜜甜蜜！,https://travel.qunar.com/youji/7416166,小西贝a,2018-10-30 出发,共1天,14张照片,三五好友,万圣节 蜜月 购物 圣诞 美食 寒假 古镇 自驾 骑行 毕业游 短途周末 摄影 徒步 人文 第一次 环游 深度游 穷游 漫游 冬季 赏秋,人均5元,7574,3,2
北京5家辣到头皮发麻的小店，天很冷暖气还没来，吃点辣暖暖身子！,https://travel.qunar.com/youji/7414028,小西贝a,2018-10-24 出发,共1天,22张照片,三五好友,万圣节 购物 圣诞 美食 寒假 自驾 骑行 毕业游 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 温泉 冬季 赏秋,人均50元,5349,4,1
秋高气爽|北京西郊三山五园，一趟地铁将最美秋色全部收入囊中！,https://travel.qunar.com/youji/7401793,小西贝a,2018-09-27 出发,共1天,18张照片,三五好友,万圣节 圣诞 古镇 自驾 骑行 毕业游 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 赏秋 国庆,人均19元,8732,3,0
玩转中秋|北京节味最浓的九个的地方，除了吃月饼你还知道什么习俗？,https://travel.qunar.com/youji/7398382,小西贝a,2018-09-20 出发,共1天,25张照片,亲子,万圣节 美食 中秋节 古镇 自驾 骑行 毕业游 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 赏秋 国庆,人均50元,5246,5,0
2018北京中秋新玩法：听相声、观巨月、打铁花，这个feel倍儿爽！,https://travel.qunar.com/youji/7396982,小西贝a,2018-09-18 出发,共1天,54张照片,三五好友,万圣节 圣诞 中秋节 古镇 自驾 骑行 毕业游 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 赏秋 国庆,人均98元,5311,4,2
北京9大经典中秋赏月地，全家老小齐出动，今年中秋团团圆圆~,https://travel.qunar.com/youji/7396653,小西贝a,2018-09-18 出发,共1天,30张照片,,万圣节 中秋节 古镇 自驾 骑行 短途周末 摄影 徒步 人文 第一次 深度游 穷游 漫游 赏秋 国庆,人均20元,5333,5,0
漂在北京，去过这几个地方后才知道，其实一个人的中秋也能过得很好！,https://travel.qunar.com/youji/7396335,小西贝a,2018-09-17 出发,共1天,42张照片,独自一人,万圣节 美食 中秋节 古镇 自驾 骑行 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 赏秋 国庆,人均66元,6685,6,0
北京下班吃鸡好去处，原来这几家店这么6，带上妹子猪队友我们走！,https://travel.qunar.com/youji/7393078,小西贝a,2018-09-11 出发,共1天,27张照片,三五好友,万圣节 美食 中秋节 自驾 骑行 短途周末 暑假 徒步 人文 第一次 穷游 夏季 赏秋 国庆,人均100元,9668,3,0
少年强则国强！最适合中国少年游览的风景名胜有哪些？,https://travel.qunar.com/youji/7389415,小西贝a,2018-09-04 出发,共2天,9张照片,家庭,中秋节 自驾 骑行 短途周末 摄影 徒步 探险 人文 第一次 环游 深度游 穷游 漫游 赏秋 国庆,人均20元,1.1万,15,0
【酒鬼专属】北京最适合喝闷酒的几个地方，没钱也能买醉，这边风景独好！,https://travel.qunar.com/youji/7099403,小西贝a,2018-08-28 出发,共1天,28张照片,独自一人,穷游 中秋节 骑行 暑假 短途周末 徒步 赏秋 人文 国庆 第一次,,9305,6,0
【吃在北京·实惠小店分享】下班啦！吃饭啦！冲啊~,https://travel.qunar.com/youji/7088948,小西贝a,2018-08-14 出发,共1天,25张照片,,美食 暑假,人均50元,2293,5,0
【周末短途】北京周围最适合带[家人]去的五个小众景点，自驾不堵车！,https://travel.qunar.com/youji/7087444,小西贝a,2018-08-13 出发,共2天,42张照片,家庭,古镇 自驾 夏季 短途周末 人文,人均200元,7906,5,1
两大两小的北京游,https://travel.qunar.com/youji/2048889,gong436,2013-07-23 出发,共5天,61张照片,,美食,,8302,10,2
白河峡谷激情漂流,https://travel.qunar.com/youji/3978429,dunf4658,2014-07-03 出发,共1天,31张照片,,,,4232,19,1
门头沟黄草梁鉴秋,https://travel.qunar.com/youji/6034134,openeye1,2014-10-17 出发,共1天,77张照片,,,,1872,1,0
食在京城、,https://travel.qunar.com/youji/6550748,HCbella,2016-05-15 出发,共4天,54张照片,闺蜜,美食,人均2000元,3851,8,1
北漂的你想家吗? 七大驻京办餐厅帮你找到家乡的味道！,https://travel.qunar.com/youji/6971206,JX小星星,2018-01-04 出发,共2天,32张照片,三五好友,美食 短途周末,人均100元,5520,13,0
一座恭王府，半部清朝史。,https://travel.qunar.com/youji/7686896,再远的路也没...,2021-05-11 出发,共1天,75张照片,情侣,深度游 摄影 夏季 徒步,人均100元,348,23,3
北京8日游,https://travel.qunar.com/youji/2980480,cocogee,2014-02-20 出发,共8天,9张照片,,美食,,4966,13,2
去首都北京感受一次历史的歌唱~,https://travel.qunar.com/youji/6452439,lytsherlock,2014-08-08 出发,共3天,82张照片,,美食,,1988,3,0
墨妆老街气象新   新街口街道,https://travel.qunar.com/youji/7553971,行者橙色咖啡,2019-12-08 出发,共1天,43张照片,独自一人,寒假 骑行 毕业游 暑假 徒步,,752,11,4
帝都漫游记之老北京风情街,https://travel.qunar.com/youji/6728058,冷月1990,2016-11-13 出发,共1天,54张照片,三五好友,美食 漫游 赏秋,人均50元,3177,3,0
